Rank,Built-up area,Population
1,Greater London area,9787426
2,Greater Manchester area,2553379
3,West Midlands area,2440986
4,West Yorkshire area,1777934
5,Greater Glasgow area,1209143
6,Liverpool area,864122
7,South Hampshire area,855569
8,Tyneside area,774891
9,Nottingham area,729977
10,Sheffield area,685368
11,Bristol area,617280
12,Belfast Urban Area,595879
13,Leicester area,508916
14,Edinburgh,482005
15,Brighton and Hove area,474485
16,Bournemouth/Poole area,466266
17,Cardiff area,447287
18,Teesside area,376633
19,Stoke-on-Trent area,372775
20,Coventry area,359262
